rank	total	cum	word
1075	93	74.45%	тыкать
1076	93	74.46%	ужин
1077	93	74.47%	будь
1078	93	74.48%	начаться
1079	93	74.50%	поверх
1080	92	74.51%	отвести
1081	92	74.52%	прислать
1082	92	74.53%	скорость
1083	92	74.54%	остановить
1084	92	74.55%	принимать
1085	92	74.56%	сражаться
1086	92	74.57%	отчаяние
1087	92	74.58%	сойти
1088	92	74.59%	знак
1089	91	74.60%	жалеть
1090	91	74.62%	запретить
1091	91	74.63%	заколдовать
1092	91	74.64%	отвечать
1093	91	74.65%	пояснить
1094	91	74.66%	особый
1095	91	74.67%	глянуть
1096	91	74.68%	несмотря
1097	91	74.69%	значок
1098	91	74.70%	какой-нибудь
1099	90	74.71%	блестеть
1100	90	74.72%	веселый
1101	90	74.73%	неожиданно
1102	90	74.74%	дойти
1103	90	74.75%	облегчение
1104	90	74.77%	вспышка
1105	90	74.78%	задний
1106	90	74.79%	кончик
1107	90	74.80%	правый
1108	90	74.81%	спешить
1109	90	74.82%	повод
1110	90	74.83%	список
1111	90	74.84%	выпалять
1112	89	74.85%	мужчина
1113	89	74.86%	тьма
1114	89	74.87%	эхо
1115	89	74.88%	животное
1116	89	74.89%	подушка
1117	89	74.90%	восторг
1118	89	74.91%	извинить
1119	89	74.92%	кстати
1120	89	74.93%	здоровый
1121	89	74.94%	отказаться
1122	89	74.96%	грозный
1123	89	74.97%	тренировка
1124	89	74.98%	больничный
1125	88	74.99%	вестибюль
1126	88	75.00%	издать
1127	88	75.01%	усилие
1128	88	75.02%	магловский
1129	88	75.03%	понравиться
1130	88	75.04%	быстрее
1131	88	75.05%	ледяной
1132	88	75.06%	прежний
1133	88	75.07%	напомнить
1134	88	75.08%	холл
1135	88	75.09%	крупный
1136	88	75.10%	сильнее
1137	88	75.11%	победить
1138	87	75.12%	приказать
1139	87	75.13%	ошибка
1140	87	75.14%	вопль
1141	87	75.15%	сомнение
1142	87	75.16%	испытывать
1143	87	75.17%	подходить
1144	87	75.18%	сводить
1145	87	75.19%	посреди
1146	87	75.20%	полка
1147	87	75.21%	маг
1148	87	75.22%	премьер-министр
1149	86	75.23%	середина
1150	86	75.24%	вчера
1151	86	75.25%	настолько
1152	86	75.27%	передать
1153	86	75.28%	появляться
1154	86	75.29%	кубок
1155	86	75.30%	безопасность
1156	86	75.31%	мягко
1157	86	75.32%	скрыть
1158	86	75.33%	проникнуть
1159	86	75.34%	шагнуть
1160	86	75.35%	догадаться
1161	86	75.36%	беда
1162	86	75.37%	усесться
1163	86	75.38%	испытание
1164	86	75.39%	пес
1165	86	75.40%	лапа
1166	86	75.41%	первокурсник
1167	86	75.42%	бладжер
1168	86	75.43%	платформа
1169	86	75.44%	купе
1170	86	75.45%	стадион
1171	85	75.46%	прекрасно
1172	85	75.47%	сжать
1173	85	75.48%	несчастный
1174	85	75.49%	объяснять
1175	85	75.50%	ступень
1176	85	75.51%	носить
1177	85	75.52%	испуганный
1178	85	75.53%	площадь
1179	85	75.54%	перебить
1180	85	75.55%	пропустить
1181	85	75.56%	рукав
1182	85	75.57%	народ
1183	85	75.58%	метл
1184	85	75.59%	том
1185	84	75.60%	ворота
1186	84	75.61%	деревянный
1187	84	75.62%	мракоборец
1188	84	75.63%	доверять
1189	84	75.64%	сбежать
1190	84	75.65%	входить
1191	84	75.66%	также
1192	84	75.67%	жуткий
1193	84	75.68%	захлопнуть
1194	84	75.69%	выпрямиться
1195	84	75.70%	переулок
1196	84	75.71%	разглядывать
1197	84	75.72%	тайный
1198	84	75.73%	столик
1199	84	75.74%	желтый
1200	83	75.75%	ежедневный
1201	83	75.76%	картина
1202	83	75.77%	махать
1203	83	75.78%	откликнуться
1204	83	75.79%	исключить
1205	83	75.80%	мнение
1206	83	75.81%	состояние
1207	83	75.82%	множество
1208	83	75.83%	спокойный
1209	83	75.84%	банк
1210	83	75.85%	болеть
1211	83	75.86%	гиппогриф
1212	82	75.86%	потрясти
1213	82	75.87%	касаться
1214	82	75.88%	выбраться
1215	82	75.89%	доска
1216	82	75.90%	рождение
1217	82	75.91%	способность
1218	82	75.92%	ступенька
1219	82	75.93%	устроить
1220	82	75.94%	около
1221	82	75.95%	борьба
1222	82	75.96%	подальше
1223	82	75.97%	бокал
1224	82	75.98%	джинни
1225	82	75.99%	обещать
1226	82	76.00%	кидаться
1227	81	76.01%	столь
1228	81	76.02%	любопытство
1229	81	76.03%	запереть
1230	81	76.04%	наверху
1231	81	76.05%	группа
1232	81	76.06%	двор
1233	81	76.07%	дым
1234	81	76.08%	ехать
1235	81	76.09%	борода
1236	81	76.10%	волноваться
1237	81	76.11%	означать
1238	81	76.12%	обрадоваться
1239	81	76.13%	устать
1240	81	76.13%	гриффиндорский
1241	81	76.14%	шутка
1242	81	76.15%	изумление
1243	80	76.16%	порог
1244	80	76.17%	благодаря
1245	80	76.18%	толкнуть
1246	80	76.19%	покрыть
1247	80	76.20%	пропасть
1248	80	76.21%	чаша
1249	80	76.22%	домой
1250	80	76.23%	выпить
1251	80	76.24%	дно
1252	80	76.25%	вытянуть
1253	80	76.26%	лучше
1254	80	76.27%	бутылка
1255	80	76.28%	бросать
1256	80	76.29%	круг
1257	80	76.30%	холодно
1258	80	76.31%	честно
1259	80	76.31%	очутиться
1260	79	76.32%	вырасти
1261	79	76.33%	один
1262	79	76.34%	вглядываться
1263	79	76.35%	жена
1264	79	76.36%	верхний
1265	79	76.37%	мокрый
1266	79	76.38%	жаль
1267	79	76.39%	являться
1268	79	76.40%	ведьма
1269	79	76.41%	будете
1270	79	76.42%	возле
1271	78	76.43%	позволять
1272	78	76.44%	девушка
1273	78	76.44%	однажды
1274	78	76.45%	задать
1275	78	76.46%	открывать
1276	78	76.47%	прижать
1277	78	76.48%	жертва
1278	78	76.49%	плащ
1279	78	76.50%	отрезать
1280	78	76.51%	садиться
1281	78	76.52%	старост
1282	78	76.53%	заорать
1283	78	76.54%	классификация
1284	77	76.55%	левый
1285	77	76.56%	человеческий
1286	77	76.56%	сбить
1287	77	76.57%	власть
1288	77	76.58%	отвернуться
1289	77	76.59%	уничтожить
1290	77	76.60%	слух
1291	77	76.61%	близко
1292	77	76.62%	весело
1293	77	76.63%	отчаянно
1294	77	76.64%	изучать
1295	77	76.65%	предупредить
1296	77	76.66%	приехать
1297	77	76.66%	нападение
1298	77	76.67%	зайти
1299	77	76.68%	конверт
1300	76	76.69%	победа
1301	76	76.70%	статья
1302	76	76.71%	бумага
1303	76	76.72%	спускаться
1304	76	76.73%	присоединиться
1305	76	76.74%	настроение
1306	76	76.75%	лампа
1307	76	76.75%	ненавидеть
1308	76	76.76%	понятие
1309	76	76.77%	проход
1310	76	76.78%	нож
1311	76	76.79%	запах
1312	76	76.80%	плохо
1313	76	76.81%	мечтать
1314	76	76.82%	шар
1315	75	76.83%	направление
1316	75	76.83%	рост
1317	75	76.84%	туман
1318	75	76.85%	пятно
1319	75	76.86%	видеться
1320	75	76.87%	торчать
1321	75	76.88%	отыскать
1322	75	76.89%	создать
1323	75	76.90%	гора
1324	75	76.91%	результат
1325	75	76.91%	холод
1326	75	76.92%	вздрогнуть
1327	75	76.93%	подозревать
1328	75	76.94%	свеча
1329	75	76.95%	феникс
1330	75	76.96%	признаться
1331	75	76.97%	абсолютно
1332	75	76.98%	благодарить
1333	74	76.99%	ктото
1334	74	76.99%	полностью
1335	74	77.00%	разглядеть
1336	74	77.01%	приказ
1337	74	77.02%	спорить
1338	74	77.03%	решение
1339	74	77.04%	локоть
1340	74	77.05%	обо
1341	74	77.06%	собрать
1342	74	77.06%	подхватить
1343	74	77.07%	враг
1344	74	77.08%	здорово
1345	74	77.09%	голубой
1346	74	77.10%	замолчать
1347	74	77.11%	кое-что
1348	73	77.12%	событие
1349	73	77.13%	дюйм
1350	73	77.13%	сложный
1351	73	77.14%	встречаться
1352	73	77.15%	поблескивать
1353	73	77.16%	произносить
1354	73	77.17%	берег
1355	73	77.18%	эть
1356	73	77.19%	призрак
1357	73	77.19%	взвизгнуть
1358	73	77.20%	нормальный
1359	73	77.21%	острый
1360	73	77.22%	рыжий
1361	73	77.23%	доноситься
1362	73	77.24%	громадный
1363	73	77.25%	коробка
1364	73	77.25%	постучать
1365	72	77.26%	постоянно
1366	72	77.27%	задыхаться
1367	72	77.28%	надпись
1368	72	77.29%	вцепиться
1369	72	77.30%	тревога
1370	72	77.31%	лист
1371	72	77.31%	получать
1372	72	77.32%	ой
1373	72	77.33%	нервно
1374	72	77.34%	четвертый
1375	72	77.35%	капюшон
1376	72	77.36%	судья
1377	72	77.37%	мрачный
1378	72	77.37%	глупость
1379	72	77.38%	звезда
1380	72	77.39%	буркнуть
1381	72	77.40%	свиток
1382	72	77.41%	вот-вот
1383	72	77.42%	маггл
1384	71	77.42%	справа
1385	71	77.43%	склониться
1386	71	77.44%	толк
1387	71	77.45%	заняться
1388	71	77.46%	требоваться
1389	71	77.47%	врезаться
1390	71	77.47%	тысяча
1391	71	77.48%	колдун
1392	71	77.49%	высоко
1393	71	77.50%	огненный
1394	71	77.51%	живот
1395	71	77.52%	оружие
1396	71	77.53%	помчаться
1397	71	77.53%	заходить
1398	71	77.54%	территория
1399	71	77.55%	лесничий
1400	71	77.56%	кончиться
1401	71	77.57%	зритель
1402	70	77.58%	узкий
1403	70	77.58%	глава
1404	70	77.59%	свобода
1405	70	77.60%	уход
1406	70	77.61%	правильный
1407	70	77.62%	шанс
1408	70	77.63%	полететь
1409	70	77.63%	тема
1410	70	77.64%	обсуждать
1411	70	77.65%	одеть
1412	70	77.66%	скользнуть
1413	70	77.67%	розовый
1414	70	77.67%	кот
1415	70	77.68%	еле
1416	70	77.69%	больница
1417	70	77.70%	нарушить
1418	70	77.71%	треск
1419	70	77.72%	гоблин
1420	70	77.72%	стеклянный
1421	70	77.73%	сад
1422	70	77.74%	блестящий
1423	70	77.75%	убедиться
1424	69	77.76%	убрать
1425	69	77.77%	большинство
1426	69	77.77%	удача
1427	69	77.78%	пророк
1428	69	77.79%	сообразить
1429	69	77.80%	нести
1430	69	77.81%	обладать
1431	69	77.81%	направиться
1432	69	77.82%	отступить
1433	69	77.83%	деревня
1434	69	77.84%	действие
1435	69	77.85%	повторять
1436	69	77.86%	точка
1437	69	77.86%	перейти
1438	69	77.87%	умирать
1439	69	77.88%	возмутиться
1440	69	77.89%	охранять
1441	69	77.90%	носок
1442	69	77.90%	учить
1443	69	77.91%	что–то
1444	68	77.92%	ручка
1445	68	77.93%	примерно
1446	68	77.94%	указывать
1447	68	77.94%	красть
1448	68	77.95%	поздно
1449	68	77.96%	приземлиться
1450	68	77.97%	смешной
1451	68	77.98%	статуя
1452	68	77.98%	ближайший
1453	68	77.99%	замечательный
1454	68	78.00%	школьник
1455	68	78.01%	пароль
1456	68	78.02%	убийство
1457	67	78.02%	поверхность
1458	67	78.03%	усмехнуться
1459	67	78.04%	поглядывать
1460	67	78.05%	залить
1461	67	78.06%	состоять
1462	67	78.06%	чернила
1463	67	78.07%	ох
1464	67	78.08%	показаться
1465	67	78.09%	назначить
1466	67	78.10%	либо
1467	67	78.10%	правильно
1468	67	78.11%	почему-то
1469	67	78.12%	покой
1470	67	78.13%	метнуться
1471	67	78.14%	бить
1472	67	78.14%	научиться
1473	67	78.15%	рассмеяться
1474	67	78.16%	сейф
1475	67	78.17%	применить
1476	66	78.18%	куст
1477	66	78.18%	веревка
1478	66	78.19%	выдохнуть
1479	66	78.20%	быстрый
1480	66	78.21%	относиться
1481	66	78.21%	теплый
1482	66	78.22%	поближе
1483	66	78.23%	ощущать
1484	66	78.24%	чудо
1485	66	78.25%	вставать
1486	66	78.25%	горячий
1487	66	78.26%	полет
1488	66	78.27%	оставлять
1489	66	78.28%	больно
1490	66	78.28%	клык
1491	66	78.29%	соседний
1492	66	78.30%	глубоко
1493	66	78.31%	случайно
1494	66	78.32%	бороться
1495	66	78.32%	метр
1496	66	78.33%	бал
1497	65	78.34%	сведение
1498	65	78.35%	иной
1499	65	78.35%	древний
1500	65	78.36%	засунуть
1501	65	78.37%	вне
1502	65	78.38%	подать
1503	65	78.38%	мелкий
1504	65	78.39%	возможный
1505	65	78.40%	вывести
1506	65	78.41%	угодно
1507	65	78.42%	биться
1508	65	78.42%	скрывать
1509	65	78.43%	умный
1510	65	78.44%	согласный
1511	65	78.45%	сам-знать
1512	65	78.45%	искра
1513	65	78.46%	присутствие
1514	65	78.47%	единорог
1515	65	78.48%	слышный
1516	65	78.48%	злость
1517	65	78.49%	неприятность
1518	65	78.50%	капитан
1519	65	78.51%	сказзать
1520	65	78.52%	сборная
1521	64	78.52%	летучий
1522	64	78.53%	возвращение
1523	64	78.54%	оборотень
1524	64	78.55%	разрешение
1525	64	78.55%	задрожать
1526	64	78.56%	поступить
1527	64	78.57%	миновать
1528	64	78.58%	защитный
1529	64	78.58%	старший
1530	64	78.59%	навстречу
1531	64	78.60%	лифт
1532	64	78.61%	открытый
1533	64	78.61%	взреветь
1534	64	78.62%	рассчитывать
1535	64	78.63%	плакать
